Date,c,o,h,l,v
2012-01-01,61.803866719713,62.181000493217,61.803866719713,61.803866719713,50
2012-01-02,62.809556782391,61.803866719713,63.06097929806,62.181000493217,1320
2012-01-03,63.186690555895,62.809556782391,63.563824329399,63.06097929806,2370
2012-01-04,62.432423008886,63.186690555895,63.563824329399,62.432423008886,390
2012-01-08,62.181000493217,62.432423008886,62.181000493217,62.055289235382,160
2012-01-09,62.558134266721,62.181000493217,62.558134266721,62.181000493217,200
2012-01-10,62.306711751052,62.558134266721,62.306711751052,62.306711751052,80
2012-01-11,62.558134266721,62.306711751052,62.558134266721,62.432423008886,630
2012-01-12,62.683845524556,62.558134266721,62.683845524556,62.683845524556,70
2012-01-16,63.06097929806,62.683845524556,63.312401813729,62.809556782391,880
2012-01-17,62.935268040225,63.06097929806,63.312401813729,62.935268040225,410
2012-01-18,62.809556782391,62.935268040225,62.809556782391,62.809556782391,180
2012-01-22,61.426732946209,62.809556782391,63.186690555895,61.426732946209,4030
2012-01-23,61.426732946209,61.426732946209,61.426732946209,60.798176657035,560
2012-01-25,60.169620367861,61.426732946209,61.175310430539,59.918197852192,2630
2012-01-26,59.792486594357,60.169620367861,60.421042883531,59.666775336522,1470
2012-01-29,60.546754141366,59.792486594357,60.6724653992,59.666775336522,3020
2012-01-31,59.666775336522,60.546754141366,60.169620367861,59.289641563018,1180
2012-02-01,59.666775336522,59.666775336522,59.666775336522,59.415352820853,50
2012-02-02,59.918197852192,59.666775336522,59.918197852192,59.666775336522,250
2012-03-13,61.175310430539,59.918197852192,61.678155461878,59.918197852192,890
2012-03-14,61.678155461878,61.175310430539,61.678155461878,61.426732946209,140
2012-03-15,60.92388791487,61.678155461878,61.552444204043,60.92388791487,470
2012-03-18,60.6724653992,60.92388791487,60.6724653992,60.6724653992,110
2012-03-19,60.546754141366,60.6724653992,60.798176657035,60.546754141366,350
2012-03-20,60.6724653992,60.546754141366,60.798176657035,60.6724653992,870
2012-03-21,60.295331625696,60.6724653992,60.421042883531,60.295331625696,400
2012-03-25,60.295331625696,60.295331625696,60.295331625696,59.666775336522,1390
2012-03-26,60.043909110027,60.295331625696,60.043909110027,60.043909110027,30
2012-03-27,59.918197852192,60.043909110027,60.295331625696,59.918197852192,1200
2012-03-28,59.792486594357,59.918197852192,59.918197852192,59.792486594357,260
2012-03-29,60.6724653992,59.792486594357,60.6724653992,60.043909110027,950
2012-04-01,59.918197852192,60.6724653992,60.6724653992,59.666775336522,1100
2012-04-02,60.421042883531,59.918197852192,60.6724653992,59.666775336522,770
2012-04-03,60.546754141366,60.421042883531,60.546754141366,59.792486594357,110
2012-04-04,60.546754141366,60.546754141366,60.546754141366,60.295331625696,220
2012-04-05,60.6724653992,60.546754141366,60.92388791487,59.918197852192,1090
2012-04-08,60.6724653992,60.6724653992,60.6724653992,59.918197852192,690
2012-04-09,61.175310430539,60.6724653992,61.175310430539,60.043909110027,560
2012-04-10,61.175310430539,61.175310430539,61.301021688374,60.546754141366,2830
2012-04-11,62.683845524556,61.175310430539,62.683845524556,61.175310430539,110
2012-04-12,63.06097929806,62.683845524556,63.06097929806,61.678155461878,2240
2012-04-15,63.312401813729,63.06097929806,63.312401813729,63.312401813729,160
2012-04-17,63.689535587234,63.312401813729,63.689535587234,63.689535587234,200
2012-04-18,64.443803134242,63.689535587234,64.820936907746,62.935268040225,2070
2012-04-19,65.072359423416,64.443803134242,65.700915712589,64.820936907746,880
2012-04-22,65.072359423416,65.072359423416,65.826626970424,65.072359423416,1120
2012-04-25,67.209450806606,65.072359423416,67.209450806606,65.44949319692,50
2012-04-26,69.7236759633,67.209450806606,69.7236759633,67.209450806606,3400
2012-04-29,70.477943510309,69.7236759633,71.483633572987,69.97509847897,1150
2012-04-30,69.472253447631,70.477943510309,69.97509847897,69.472253447631,350
2012-05-03,70.477943510309,69.472253447631,70.477943510309,69.97509847897,4190
2012-05-07,71.483633572987,70.477943510309,71.483633572987,70.477943510309,6780
2012-05-08,71.483633572987,71.483633572987,71.986478604325,71.483633572987,6490
2012-05-09,68.717985900623,71.483633572987,71.232211057317,68.717985900623,4210
2012-05-10,67.83800709578,68.717985900623,68.843697158457,67.712295837945,2670
2012-05-13,66.329472001763,67.83800709578,67.335162064441,65.323781939085,2810
2012-05-14,64.318091876407,66.329472001763,65.826626970424,64.318091876407,770
2012-05-15,65.44949319692,64.318091876407,65.44949319692,64.695225649911,170
2012-05-17,66.958028290936,65.44949319692,67.209450806606,65.826626970424,1620
2012-05-20,66.832317033102,66.958028290936,67.460873322275,66.832317033102,830
2012-05-21,69.220830931962,66.832317033102,69.220830931962,67.209450806606,410
2012-05-22,67.58658458011,69.220830931962,68.592274642788,67.083739548771,310
2012-05-23,66.580894517432,67.58658458011,67.083739548771,66.580894517432,70
2012-05-24,67.83800709578,66.580894517432,67.83800709578,65.952338228259,590
2012-05-27,69.472253447631,67.83800709578,69.472253447631,67.335162064441,440
2012-06-05,66.078049486093,69.472253447631,68.969408416292,66.078049486093,800
2012-06-06,64.192380618573,66.078049486093,65.700915712589,64.192380618573,4500
2012-06-07,66.455183259598,64.192380618573,66.455183259598,64.192380618573,3670
2012-06-10,67.58658458011,66.455183259598,68.969408416292,66.958028290936,11940
2012-06-11,67.83800709578,67.58658458011,69.095119674127,67.460873322275,6260
2012-06-12,67.712295837945,67.83800709578,68.340852127118,66.958028290936,2350
2012-06-13,67.335162064441,67.712295837945,67.83800709578,66.958028290936,4500
2012-06-14,67.58658458011,67.335162064441,67.83800709578,67.209450806606,5000
